id,brand,name,bag_of_words
AWo0hEQ_AGTnQPR7rAf5,pleaser,women's pleaser seduce 3010,3010 pleaser seduce women's
AWo0hFhiJbEilcB6MTGP,demonia,women's demonia stomp 08,08 stomp women's demonia
AWo0hGKB0U_gzG0heziE,pleaserusa,"delight-1020g, 6'' heel 1 3/4'' platform glitter lace-up ankle boot","platform 6'' pleaserusa 3/4'' glitter heel boot ankle lace-up delight-1020g, 1"
AWo0hGhXAGTnQPR7rAhC,l'artiste by spring step,women's l'artiste by spring step caiman slide,women's l'artiste step by spring caiman slide
AWo0hLbCM263mwCq50NZ,pleaser,women's pleaser adore 1017rsf ankle boot,adore women's 1017rsf boot ankle pleaser
AWo0hMOx0U_gzG0hezkD,city classified,city classified women's faux suede mid calf stacked heel boot,mid suede women's classified calf city faux heel boot stacked
AWo0hOQmJbEilcB6MTJk,city classified,picotee women western cowboy cowgirl stitched ankle high short boots red,cowboy high cowgirl red classified city picotee boots western ankle short women stitched
AWo0hQgDM263mwCq50Qd,l'artiste by spring step,women's l'artiste by spring step glennie slide,women's l'artiste step by spring slide glennie
AWo0hQyz0U_gzG0hezm5,luichiny,women's luichiny great lee,great women's lee luichiny
AWo0hSQnJbEilcB6MTL5,ellie shoes,bp579-chablis 5.5'' heel platform ankle boot,platform ellie heel boot bp579-chablis ankle 5.5'' shoes
AWo0hT9MJbEilcB6MTMi,funtasma,gogo-307 women's block heel knee high mesh boots,block knee high women's heel boots gogo-307 mesh funtasma
AWo0hUKz0U_gzG0hezo7,ziginy,ziginy womens melaa split toe casual strappy sandals,toe melaa womens sandals strappy casual ziginy split
AWo0hVkgJbEilcB6MTNS,soda,soda women's linen crochet elastic ankle wrap espadrille wedge,linen women's soda elastic wedge crochet espadrille ankle wrap
AWo0hWSWM263mwCq50Tf,genuine grip,genuine grip women's black casual oxford shoe,genuine women's grip oxford black casual shoe
AWo0hWV-JbEilcB6MTNr,genuine grip,genuine grip women's black casual oxford shoe,genuine women's grip oxford black casual shoe
AWo0hXtn0U_gzG0hezqh,nature breeze,nature breeze bg10 women leatherette quilted lace up combat boot,breeze nature quilted boot lace bg10 up leatherette combat women
AWo0hYAUM263mwCq50UG,trotters,women's trotters below zero waterproof ankle boot,women's ankle boot waterproof trotters below zero
AWo0hYRIJbEilcB6MTOv,pleaser,women's pleaser seduce 431,pleaser seduce women's 431
AWo0hYWC0U_gzG0hezq2,city classified,"city classified women's faux leather mid calf stacked heel boot (tan, 9 b(m) us)","mid leather b(m) women's (tan, classified calf city faux heel boot us) stacked 9"
AWo0hYceM263mwCq50UW,l'artiste by spring step,women's l'artiste by spring step avonora slingback,avonora women's l'artiste step by slingback spring
AWo0hbERJbEilcB6MTQF,pleaserusa,"swing-105, 5 1/2'' platform ankle boot","platform 1/2'' swing-105, pleaserusa boot ankle 5"
AWo0hecF0U_gzG0hezt9,pleaser,women's pleaser bejeweled 1018dm-7 ankle boot,women's boot ankle 1018dm-7 pleaser bejeweled
AWo0hf7pM263mwCq50X-,ugg australia,"womens ugg australia kilmer combat boots, black leather","leather womens boots, black australia combat ugg kilmer"
AWo0hfhN0U_gzG0hezug,diba true,women's diba true idaho city open toe bootie,toe idaho diba women's bootie city open true
AWo0hgCrAGTnQPR7rAs2,ellie,ellie 421-zara women 4 knee high boot with glitter. women,knee 421-zara ellie high 4 with boot women glitter.
AWo0hpen0U_gzG0hezzr,catan,"trotters women's luxury boot, tan/cognac, 9.5 m us","m women's boot, luxury us 9.5 trotters tan/cognac, catan"
AWo0hpo7AGTnQPR7rAyD,madden girl,madden girl women's stormmm silver multi ankle-high fabric slip-on shoes - 9m,madden women's fabric 9m slip-on girl silver multi ankle-high shoes stormmm -
AWo0hrm6M263mwCq50ef,l'artiste by spring step,women's l'artiste by spring step laniraz clog,women's l'artiste step by spring clog laniraz
AWo0ht_R0U_gzG0hez2N,jambu,women's jambu jbu ontario mid duck boot,ontario mid women's duck jambu boot jbu
AWo0hvKcJbEilcB6MTaM,diba true,women's diba true flying solo bootie,diba women's solo bootie flying true
AWo0hxNyM263mwCq50hM,delicious,delicious women's open toe strappy platform high heel,toe platform high women's heel strappy delicious open
AWo0iAlQ0U_gzG0hez-A,white mountain,white mountain womens remi round toe knee high fashion boots,toe white round womens knee high mountain boots remi fashion
AWo0iBTnJbEilcB6MTi1,l'artiste by spring step,women's l'artiste by spring step solarsys d'orsay shoe,women's l'artiste step by d'orsay spring shoe solarsys
AWo0iC2P0U_gzG0hez_H,city classified,"coin by city classified, women chelsea high stack heel ankle bootie w elastic side slit","slit high classified elastic bootie stack city heel side by w ankle coin chelsea women classified,"
AWo0iCVFJbEilcB6MTjT,pleaser,women's pleaser seduce 3010,3010 pleaser seduce women's
AWo0iEF8JbEilcB6MTkI,white mountain,white mountain shoes taite women's boot,white women's mountain boot shoes taite
AWo0iEx8AGTnQPR7rA-n,pleaser,women's pleaser beyond 1020,beyond 1020 pleaser women's
AWo0iHGW0U_gzG0he0A_,fergie shoes,"fergalicious women's rasta wedge sandal, black, 9 m us","women's wedge us rasta sandal, 9 fergalicious black, shoes m fergie"
AWo0iJGdM263mwCq50rA,l'artiste by spring step,women's l'artiste by spring step sandee slip-on,sandee women's slip-on l'artiste step by spring
AWo0iJPX0U_gzG0he0BX,brinley co.,comfort womens distressed caged bootie,womens caged co. bootie distressed comfort brinley
AWo0iKv6JbEilcB6MTmb,nature breeze,nature breeze vivienne-01 leatherette quilted knee high riding boot ae86,knee high vivienne-01 riding ae86 breeze nature quilted boot leatherette
AWo0iTWTJbEilcB6MTqT,aerosoles,women's a2 by aerosoles make way flat,women's make by aerosoles flat way a2
AWo0iT_40U_gzG0he0Fo,fergie shoes,women's fergie footwear elise harness boot,women's footwear elise harness boot shoes fergie
AWo0iZgBM263mwCq50zU,pleaserusa,"delight-1020g, 6'' heel 1 3/4'' platform glitter lace-up ankle boot","platform 6'' pleaserusa 3/4'' glitter heel boot ankle lace-up delight-1020g, 1"
AWo0iZgeAGTnQPR7rBIR,ellie shoes,deluxe knee high easy lace boots,knee ellie high easy boots lace deluxe shoes
AWo0ia73M263mwCq500F,fergie shoes,women's fergalicious rookie slouch boot wide calf,women's wide calf rookie boot fergalicious shoes fergie slouch
AWo0idFOJbEilcB6MTwb,ellie,ellie 502-vanity women's 5 stiletto heel mule slide on sandal mini-platform,ellie sandal women's stiletto heel mini-platform 502-vanity mule slide on 5
AWo0idiA0U_gzG0he0LA,brinley co.,womens stud faux suede side slit booties,slit womens suede booties co. faux stud side brinley
AWo0ieNqM263mwCq502m,pleaser,women's pleaser kiss 3010,kiss pleaser 3010 women's
AWo0igqPAGTnQPR7rBN7,pleaser,men's giorgio brutini genuine kidskin 24461 gray 8 m,genuine kidskin 8 giorgio men's gray 24461 pleaser m brutini
AWo0iiv_M263mwCq505i,l'artiste by spring step,women's l'artiste by spring step malag boot,women's l'artiste step by boot malag spring
AWo0iiyQAGTnQPR7rBPU,brinley co.,brinley co. womens comfort faux suede riding boot,womens suede riding co. faux boot comfort brinley
AWo0ijKWJbEilcB6MT0f,pleaser,"6 1/2 heel, 2 1/2 pf open toe/heel thigh boot, side zip - red pu/slv chrome, 12","pu/slv 2 zip red boot, pf thigh 6 toe/heel chrome, 1/2 side pleaser open 12 heel, -"
AWo0ikN-AGTnQPR7rBQJ,pleaser,women's pleaser delight 2019-3 open-toe fringe boot,open-toe women's fringe boot 2019-3 delight pleaser
AWo0ikSvAGTnQPR7rBQL,trotters,women's trotters bowen tall waterproof boot,women's tall boot bowen waterproof trotters
AWo0il6P0U_gzG0he0QF,pleaser,women's pleaser flamingo-3028 thigh high buckle boot,high women's thigh buckle boot flamingo-3028 pleaser
AWo0ilHe0U_gzG0he0Pn,l'artiste by spring step,women's l'artiste by spring step waterlily ankle boot,waterlily women's l'artiste step by boot spring ankle
AWo0jcmtM263mwCq51Bo,l'artiste by spring step,women's l'artiste by spring step lovely tall boot,lovely women's tall l'artiste step by boot spring
AWo0jjT6M263mwCq51C7,brinley co.,womens faux suede mid-calf stacked wood heel boots,suede womens mid-calf wood co. faux heel boots stacked brinley
AWo0jjmBM263mwCq51DB,brinley co.,womens comfort side strap riding boot,womens riding strap co. boot side comfort brinley
AWo0jmVDJbEilcB6MT9n,white mountain,white mountain womens hadley closed toe ankle fashion boots,toe white womens mountain boots hadley closed ankle fashion
AWo0jy6aM263mwCq51E1,keds,"keds women's double decker sequin knit fashion sneaker,gray,9.5 m us","women's keds double knit us sequin sneaker,gray,9.5 fashion m decker"
AWo0k2knAGTnQPR7rBiq,mah,women's chic combat lace up pull on tab stacked heel ankle bootie,on women's pull bootie heel mah chic lace ankle up stacked combat tab
AWo0k5UyJbEilcB6MUIN,city classified,city classified women's round toe braided strap ankle boot,toe round women's braided classified strap city boot ankle
AWo0kC2tM263mwCq51Hh,city classified,city classified women's round toe braided strap ankle boot,toe round women's braided classified strap city boot ankle
AWo0kF1aM263mwCq51ID,trotters,women's trotters candice mary jane,women's jane mary trotters candice
AWo0kLeH0U_gzG0he0c9,drew,women's drew joy,drew women's joy
AWo0kRdoAGTnQPR7rBe_,city classified,"city classified women's faux leather mid calf stacked heel boot (tan, 9 b(m) us)","mid leather b(m) women's (tan, classified calf city faux heel boot us) stacked 9"
AWo0kURoJbEilcB6MUEm,city classified,city classified women's open toe faux suede slingback chunky block mid heel boot,toe mid block suede women's classified city faux heel boot chunky slingback open
AWo0kUnLM263mwCq51KY,sas,"women's sas, siesta lace up shoe","sas women's shoe siesta lace sas, up"
AWo0kfGxM263mwCq51LO,k-swiss,k-swiss women's x lite athletic cmf low turquoise / clear water ankle-high running shoe - 7.5m,running turquoise lite athletic women's low 7.5m clear k-swiss water shoe cmf x ankle-high / -
AWo0kw910U_gzG0he0hC,bogs,women's classic matte tall boot,women's tall classic bogs boot matte
AWo0l0SPAGTnQPR7rBq-,ellie,4 inch glitter go go boots platform chunky heel sexy glamour boots,platform ellie glamour 4 glitter heel boots chunky sexy go inch
AWo0lXBTM263mwCq51Re,keds,"keds women's leap studio jersey sneaker, indigo, 10 m us","women's keds us jersey leap indigo, 10 sneaker, m studio"
AWo0lXLzM263mwCq51Rj,indigo rd.,women's finn ankle bootie,rd. women's bootie indigo ankle finn
AWo0lXQ30U_gzG0he0lu,trotters,"trotters women's luxury boot, tan/cognac, 8.5 m us","women's boot, luxury 8.5 us trotters tan/cognac, m"
AWo0lfjR0U_gzG0he0m1,soda,soda women lode-h western boots,soda women boots western lode-h
AWo0llPQJbEilcB6MUOS,palladium,palladium womens pallabrouse baggy canvas fold-over combat boots,palladium womens fold-over boots baggy pallabrouse canvas combat
AWo0ltA4AGTnQPR7rBp-,catan,"pleaser women's ado1008sq/g/gch boot, gold sequins/gold chrome, 11 m us","women's sequins/gold boot, gold us 11 chrome, m pleaser catan ado1008sq/g/gch"
AWo0ltQB0U_gzG0he0pC,rampage,womens ivelia almond toe knee high riding boots,toe almond knee womens high rampage riding ivelia boots
AWo0m22GAGTnQPR7rBz7,ellie shoes,bp579-chablis 5.5'' heel platform ankle boot,platform ellie heel boot bp579-chablis ankle 5.5'' shoes
AWo0m24OJbEilcB6MUZO,keds,"keds women's champion wool sneaker,gray,6.5 m us","wool sneaker,gray,6.5 women's keds champion us m"
AWo0m2qMAGTnQPR7rBz0,aerosoles,aerosoles after hours women round toe suede black knee high boot,toe round knee hours after suede high black boot aerosoles women
AWo0mQEhM263mwCq51X4,keds,"keds women's lex ltt fashion sneaker, natural, 9.5 m us","women's keds lex us ltt natural, 9.5 fashion sneaker, m"
AWo0mQV-M263mwCq51YA,aerosoles,women's aerosoles stardom,aerosoles women's stardom
AWo0mhdH0U_gzG0he0vq,funtasma,funtasma love-270 4 1/2 heel 1/2 platform knee high boot heart shape die cut,platform knee high 4 heart die heel boot funtasma 1/2 cut shape love-270
AWo0mknt0U_gzG0he0wP,diba true,women's diba true stop by ankle boot,stop diba women's by boot ankle true
AWo0mv6FAGTnQPR7rBzB,rampage,rampage womens hansel closed toe knee high fashion boots,toe hansel knee womens high rampage boots closed fashion
AWo0nACN0U_gzG0he0zJ,soda,soda women's linen crochet elastic ankle wrap espadrille wedge,linen women's soda elastic wedge crochet espadrille ankle wrap
AWo0t0CTAGTnQPR7rCEj,new balance,new balance women's w1400 py3 ankle-high running shoe - 5m,w1400 running women's new balance shoe ankle-high 5m py3 -
