id,brand,name,bag_of_words
AWo0RJfIM263mwCq5u8c,online,carrini ca collection women's fashion fa,fa online women's carrini collection ca fashion
AWo0RRTCM263mwCq5vFC,sam edelman,"sam edelman women's stillson pump, pink mauve suede, 6 medium us","women's stillson pink suede, mauve us 6 medium pump, edelman sam"
AWo0R_9LJbEilcB6MOVq,mark nason,mark nason los angeles women's brentwood oxford,nason women's brentwood oxford mark los angeles
AWo0RneMAGTnQPR7q7qp,propet,women's propet mary jane strap loafers white 9 d,white women's strap jane loafers mary 9 propet d
AWo0S8NzJbEilcB6MOwO,trotters,women's trotters candice mary jane,women's jane mary trotters candice
AWo0SMVrM263mwCq5veL,charles david,charles david women's anne silver ankle-high leather pump - 7.5m,leather pump women's 7.5m anne charles silver david ankle-high -
AWo0SQ3FM263mwCq5vgD,brinley co.,womens ruffle faux suede ankle-strap heels,womens suede ruffle co. heels faux ankle-strap brinley
AWo0SR-pJbEilcB6MOdH,trotters,trotters lillian w square toe leather bootie,toe leather bootie w trotters square lillian
AWo0SvfT0U_gzG0hevDs,demonia,women's demonia creeper 108 creeper,108 creeper women's demonia
AWo0T15rJbEilcB6MPMH,easy spirit,easy spirit womens devitt leather closed toe oxfords,toe spirit leather womens devitt oxfords easy closed
AWo0TELT0U_gzG0hevOW,trotters,women's trotters candice mary jane,women's jane mary trotters candice
AWo0TGMUM263mwCq5v4F,demonia,women's demonia slay 206 platform ankle boot,platform slay women's 206 boot ankle demonia
AWo0TI_vM263mwCq5v5y,bellini,women's bellini flavor,flavor women's bellini
AWo0TNAbM263mwCq5v7v,demonia,women's demonia creeper 216 creeper,216 creeper women's demonia
AWo0TNdwM263mwCq5v77,steve madden,steve madden women's divine suede camel ankle-high pump - 7.5m,madden suede pump women's 7.5m divine steve ankle-high camel -
AWo0Te_FAGTnQPR7q8el,sas,"women's sas, huarache sandal","sas huarache women's sas, sandal"
AWo0TmVJAGTnQPR7q8iU,steve madden,steve madden women's rue leather natural pump - 9m,madden leather pump women's 9m steve rue natural -
AWo0TnYuAGTnQPR7q8iq,steve madden,steve madden women's spindle nubuck olive pump - 10m,madden pump women's nubuck olive spindle steve 10m -
AWo0Tp8DAGTnQPR7q8kB,fergalicious,fergalicious women's prayer doe high-top boot - 5.5m,women's 5.5m doe fergalicious boot high-top prayer -
AWo0Tq91AGTnQPR7q8km,trotters,trotters lillian w square toe leather bootie,toe leather bootie w trotters square lillian
AWo0U2qqJbEilcB6MPuF,brinley co.,brinley womens jeweled open-toe pump,open-toe womens pump co. jeweled brinley
AWo0UAODAGTnQPR7q8u1,top moda,"robin1 by top moda, shinny glitter peep toe half d'orsay high heel dress pump","toe high shinny pump dress glitter half top heel by moda d'orsay peep robin1 moda,"
AWo0UGybJbEilcB6MPUB,easy spirit,easy spirit womens devitt leather closed toe oxfords,toe spirit leather womens devitt oxfords easy closed
AWo0URm_AGTnQPR7q83W,sam edelman,sam edelman womens lola suede ankle strap pumps,suede womens strap pumps ankle edelman sam lola
AWo0e2cBJbEilcB6MSBr,aerosoles,women's aerosoles fast bet ballet flat,bet women's ballet aerosoles fast flat
AWo0e4dlM263mwCq5zJk,victoria k.,victoria k women camo slip-on mules loafer slipper flats w/ metal buckle,camo slip-on buckle w/ mules slipper flats loafer k metal women k. victoria
AWo0e5Es0U_gzG0heyfv,trotters,trotters women's mindy black tumbled leather boot 10 n (aa),leather tumbled women's n (aa) black boot 10 mindy trotters
AWo0e5e20U_gzG0heyf2,pleaser,dol50 by pleaser sexy 5 chunky heel pink glitter mary jane platformshoes,platformshoes pink dol50 glitter heel jane by chunky sexy mary pleaser 5
AWo0e7tGAGTnQPR7q_fL,corral,corral women's distressed bronze crystal embroidered cross cowgirl boot snip toe bronze 10 m us,corral toe bronze cowgirl women's cross us embroidered distressed boot crystal 10 snip m
AWo0e9W6AGTnQPR7q_gB,pleaser,women's pleaser illusion 1021 open-toe bootie,open-toe women's illusion bootie 1021 pleaser
AWo0e9YP0U_gzG0heyhd,trotters,trotters women's mindy black tumbled leather boot 10 n (aa),leather tumbled women's n (aa) black boot 10 mindy trotters
AWo0e9zr0U_gzG0heyhw,beacon shoes,women's beacon shoes surprise skimmer,women's beacon skimmer surprise shoes
AWo0e_dLJbEilcB6MSF9,ellie,ellie shoes e-604-samantha 6 metallic ankle boot with cut out platform gold / 5,platform ellie with out metallic 6 boot ankle cut shoes gold 5 / e-604-samantha
AWo0evBVM263mwCq5zGc,adidas,women's david tate opera pump,pump women's tate opera david adidas
AWo0ewNN0U_gzG0heyc9,keds,"keds women's champion seasonal solid fashion sneaker, burgundy, 7.5 m us","m women's keds champion us 7.5 fashion solid sneaker, seasonal burgundy,"
AWo0ewmMJbEilcB6MR_8,pleaser,women's pleaser flamingo 1018g open toe bootie,toe women's bootie 1018g flamingo pleaser open
AWo0eyUEJbEilcB6MSBE,l'artiste by spring step,women's l'artiste by spring step barbie tall boot,women's tall l'artiste step by boot spring barbie
AWo0f1Gr0U_gzG0hey6O,pleaser,women's pleaser pink label queen 04 pump,queen pump women's pink 04 label pleaser
AWo0f1l30U_gzG0hey6Z,pleaser,women's pleaser illusion 1018,illusion pleaser 1018 women's
AWo0f2e_JbEilcB6MSf2,unique bargains,women contrast color pu panel mesh training shoes,panel training color pu unique mesh contrast bargains shoes women
AWo0f36rJbEilcB6MSga,demonia,women's demonia stomp 08,08 stomp women's demonia
AWo0f5jeAGTnQPR7q_7V,funtasma,women's funtasma gogo 307 knee high boot,knee high women's 307 boot funtasma gogo
AWo0f6o10U_gzG0hey8k,pleaser,dol50 by pleaser sexy 5 chunky heel pink glitter mary jane platformshoes,platformshoes pink dol50 glitter heel jane by chunky sexy mary pleaser 5
AWo0f73b0U_gzG0hey89,pleaser,dol50 by pleaser sexy 5 chunky heel pink glitter mary jane platformshoes,platformshoes pink dol50 glitter heel jane by chunky sexy mary pleaser 5
AWo0f7800U_gzG0hey9B,ellie,ellie shoes e-511-tin 5 heel sequins knee boot gold / 14,knee ellie 14 e-511-tin / heel sequins boot shoes gold 5
AWo0f8aSAGTnQPR7q_8z,brinley co.,brinley co. womens comfort extra wide calf side strap riding boot,womens wide riding extra calf co. strap boot side comfort brinley
AWo0f8tNJbEilcB6MSi4,l'artiste by spring step,women's l'artiste by spring step laniraz clog,women's l'artiste step by spring clog laniraz
AWo0fB34M263mwCq5zOe,nature breeze,nature breeze vivienne-01 leatherette quilted knee high riding boot ae86,knee high vivienne-01 riding ae86 breeze nature quilted boot leatherette
AWo0fD4RJbEilcB6MSIH,brinley co.,comfort womens distressed caged bootie,womens caged co. bootie distressed comfort brinley
AWo0fDVeJbEilcB6MSH4,city classified,decade suede tan chestnut brown small short heel city classified women side zipper ankle boots booties cutout,suede booties decade classified cutout city heel side boots chestnut brown short zipper ankle small tan women
AWo0fKkbAGTnQPR7q_nH,brinley co.,womens comfort wide calf side zipper riding boot,womens wide riding calf co. boot zipper side comfort brinley
AWo0fLgU0U_gzG0heyp1,tretorn,tretorn women's camden 3 suede lite grey / white ankle-high fashion sneaker - 4.5m,white suede lite women's tretorn sneaker grey / 4.5m camden fashion ankle-high 3 -
AWo0fLoXJbEilcB6MSM5,array,trinidad women's sandal,trinidad array sandal women's
AWo0fLxuJbEilcB6MSM9,pleaser,men's giorgio brutini genuine kidskin 24461 gray 8 m,genuine kidskin 8 giorgio men's gray 24461 pleaser m brutini
AWo0fM7_AGTnQPR7q_om,trotters,women's trotters major bootie,trotters bootie women's major
AWo0fMJC0U_gzG0heyqS,bogs,bogs women's seattle,bogs seattle women's
AWo0fOUuM263mwCq5zV5,michael michael kors,michael michael kors womens sabrina leather closed toe over knee fashion boots,toe leather womens knee michael kors over sabrina boots closed fashion
AWo0fP0I0U_gzG0heyr2,l'artiste by spring step,women's l'artiste by spring step brooke open toe bootie,toe women's l'artiste bootie step by spring open brooke
AWo0fQ450U_gzG0heysb,forever young,forever young women's hounds tooth water resistant fabric couture tall rain boot,rain women's resistant tall water young tooth boot forever couture fabric hounds
AWo0fR-eAGTnQPR7q_qv,trotters,trotters women's mindy black tumbled leather boot 9.5 n (aa),leather tumbled women's n (aa) black boot 9.5 mindy trotters
